question,choice_A,choice_B,choice_C,choice_D,correct_answer,topic,split,answer,logprobs,justification,method
Which of the following scientists was among the first to study the relationship between reinforcement and learning?,Sigmund Freud,B. F. Skinner,Carl Rogers,Mary Ainsworth,B,high_school_psychology,val,B,"[<OpenAIObject at 0x7f8c80080d10> JSON: {
  "" B"": -10.487515,
  ""A"": -14.423232,
  ""Answer"": -13.882205,
  ""B"": -3.3928238e-05,
  ""b"": -12.416585
}]","
Sigmund Freud is known for his work in psychoanalysis, so (A) is not the correct answer. 
Carl Rogers is known for his work in humanistic psychology, so (C) is not the correct answer. 
Mary Ainsworth is known for her work in attachment theory, so (D) is not the correct answer. 

Therefore, the correct answer is (B) B. F. Skinner.",scratchpad
The instrument that has traditionally been used in sleep research to assess activity in the brain is called the,signal detection device (SDD),computerized axial tomography (CAT),magnetic resonance imaging (MRI),electroencephalograph (EEG),D,high_school_psychology,val,D,"[<OpenAIObject at 0x7f8c80070950> JSON: {
  "" D"": -9.398081,
  ""A"": -13.747812,
  ""Answer"": -13.361394,
  ""D"": -0.0001015252,
  ""d"": -11.102371
}]","

Sleep research is a field of study that focuses on the activity of the brain during sleep. Therefore, the instrument used to assess activity in the brain would need to be able to measure brain activity. 

The answer is (D) electroencephalograph (EEG). EEGs measure electrical activity in the brain and are commonly used in sleep research.",scratchpad
"After a big Thanksgiving dinner replete with turkey, stuffing, and all, Karmina becomes violently ill. In the weeks that follow this event, Karmina feels an unexplainable aversion to chicken, one of her favorite dishes. Karmina's feeling about chicken reflects",response generalization,latent learning,prepared learning,stimulus generalization,D,high_school_psychology,val,A,"[<OpenAIObject at 0x7f8c80080e00> JSON: {
  "" A"": -10.651214,
  ""A"": -2.5941252e-05,
  ""Answer"": -14.392348,
  ""B"": -16.853048,
  ""a"": -13.291021
}]"," Karmina has a big Thanksgiving dinner and then becomes ill. After this event, she has an aversion to chicken, which was one of her favorite dishes. This aversion is an example of response generalization, so the correct answer is (A) response generalization.",scratchpad
"A psychologist, wishing to study the behavior of prisoners, arranges to dress as a prison guard so that he can stand in the recreation area and unobtrusively study the actions and interactions of the inmates. The psychologist is employing which of the following research tools?",Quasi-experimental,Naturalistic observation,Correlational research,Random sampling,B,high_school_psychology,val,B,"[<OpenAIObject at 0x7f8c80070db0> JSON: {
  "" B"": -10.104176,
  ""A"": -13.636803,
  ""Answer"": -13.607373,
  ""B"": -4.799487e-05,
  ""b"": -12.744537
}]","

The psychologist is not conducting an experiment, so (A) Quasi-experimental is not the correct answer. 

The psychologist is not collecting data from a sample, so (D) Random sampling is not the correct answer. 

The psychologist is not looking for a relationship between two variables, so (C) Correlational research is not the correct answer. 

The psychologist is observing the behavior of the prisoners in their natural environment, so (B) Naturalistic observation is the correct answer.",scratchpad
"Many experts on parenting recommend different approaches to responding to an infant's needs. Some emphasize responding promptly to a newborn's cries to instill a sense of security, whereas others suggest letting the baby ""cry it out."" Which of the following accounts of development would be most relevant when weighing these different approaches?",Piaget's theory of cognitive development,Whorf's hypothesis of linguistic relativity,Erikson's model of psychosocial stages,Descartes's theory of Cartesian dualism,C,high_school_psychology,val,C,"[<OpenAIObject at 0x7f8c80070d10> JSON: {
  "" C"": -10.234883,
  ""Answer"": -13.443597,
  ""C"": -4.7279616e-05,
  ""D"": -13.450835,
  ""c"": -11.951629
}]","

We are looking for an account of development that is relevant to the question of how to respond to an infant's needs. 

Piaget's theory of cognitive development is about how children learn and develop cognitively, so it is not relevant to the question. 

Whorf's hypothesis of linguistic relativity is about how language shapes thought, so it is not relevant to the question. 

Erikson's model of psychosocial stages is about how children develop emotionally and socially, so it is the best choice for this question. 

Descartes's theory of Cartesian dualism is about the relationship between the mind and body, so it is not relevant to the question. 

Answer: (C) Erikson's model of psychosocial stages",scratchpad
A population frequently studied to best assess the relative effects of nature vs. nurture is,identical twins,identical quadruplets,adopted children and their adoptive parents,couples who have been married for many years,A,high_school_psychology,val,A,"[<OpenAIObject at 0x7f8c80091220> JSON: {
  "" A"": -11.341919,
  ""A"": -1.2708151e-05,
  ""Answer"": -17.461319,
  ""B"": -17.967018,
  ""a"": -13.945856
}]","

A population that is studied to assess the relative effects of nature vs. nurture would be a population that has both a genetic and environmental component. 

The best choice here is (A) identical twins, as they share the same genetic makeup, but may have different environmental influences.",scratchpad
"In studying for the AP Psychology exam, good advice would be to",store as much as possible in your short-term memory.,read this book over and over as many times as you can.,rely heavily on the serial position effect.,study from multiple sources.,D,high_school_psychology,val,D,"[<OpenAIObject at 0x7f8c80091400> JSON: {
  "" D"": -8.857544,
  ""A"": -15.064214,
  ""Answer"": -13.878835,
  ""D"": -0.0001476646,
  ""d"": -12.502472
}]","

(A) Storing as much as possible in your short-term memory is not the best advice for studying for the AP Psychology exam. 

(B) Reading the same book over and over as many times as you can is not the best advice for studying for the AP Psychology exam. 

(C) Relying heavily on the serial position effect is not the best advice for studying for the AP Psychology exam. 

(D) Studying from multiple sources is the best advice for studying for the AP Psychology exam. 

Answer: D",scratchpad
A math teacher refuses to look at the grades her students received in the past in math classes. The teacher is worried that looking at their past grades might influence the ways she reacts to her students. What effect is the teacher trying to avoid?,cognitive dissonance,self-fulfilling prophecy,fundamental attribution error,false-consensus effects,B,high_school_psychology,val,B,"[<OpenAIObject at 0x7f8c80091540> JSON: {
  "" B"": -10.168881,
  ""A"": -14.828167,
  ""Answer"": -14.292157,
  ""B"": -4.716134e-05,
  ""b"": -11.7927
}]","
The teacher is trying to avoid being influenced by the students' past grades. This means that the teacher is trying to avoid forming a biased opinion of the students based on their past grades. 
The answer is B: self-fulfilling prophecy.",scratchpad
"In order for the mean, mode, and median of a data set to be equal, the distribution must be",positively skewed,asymmetrical,negatively skewed,normal,D,high_school_psychology,val,B,"[<OpenAIObject at 0x7f8c80091630> JSON: {
  "" B"": -10.058121,
  ""A"": -12.591743,
  ""B"": -6.110595e-05,
  ""D"": -12.993265,
  ""b"": -11.5592785
}]","

The mean, mode, and median of a data set are all equal when the data is perfectly symmetrical. This means that the distribution must be (B) asymmetrical.",scratchpad
In what way would a person diagnosed with schizophrenia most likely differ from a person diagnosed with a dissociative disorder?,A person with schizophrenia is likely to have more than one personality.,A person diagnosed with a dissociative disorder is likely to have delusions.,A person diagnosed with schizophrenia is likely to experience hallucinations.,A person diagnosed with a dissociative disorder may have difficulty keeping a job.,C,high_school_psychology,val,C,"[<OpenAIObject at 0x7f8c80091720> JSON: {
  "" C"": -10.605692,
  ""A"": -14.849033,
  ""Answer"": -16.163284,
  ""C"": -2.7371756e-05,
  ""c"": -13.073357
}]","
A person with schizophrenia is likely to experience hallucinations, so the answer is C.",scratchpad
"Lisa, determined to get away from her abusive father, leaves home and moves in with an abusive boyfriend. Lisa's choice of an abusive boyfriend is most relevant to Sigmund Freud's theory of",psychodynamic conflict,opposing motives,"id, ego, and superego",behavioral dysfunction,A,high_school_psychology,val,C,"[<OpenAIObject at 0x7f8c80091810> JSON: {
  "" C"": -9.884858,
  ""A"": -12.747765,
  ""C"": -7.183848e-05,
  ""D"": -14.201328,
  ""c"": -11.054177
}]","

Sigmund Freud's theory is most closely associated with the concept of the unconscious mind and the idea of the id, ego, and superego. Therefore, the correct answer is (C) id, ego, and superego.",scratchpad
Which of the following is caused by a teratogen?,Tay-Sachs disease,Klinefelter's syndrome,Turner's syndrome,Fetal alcohol syndrome,D,high_school_psychology,val,D,"[<OpenAIObject at 0x7f8c80091900> JSON: {
  "" D"": -7.8722863,
  ""A"": -12.142593,
  ""Answer"": -10.70847,
  ""D"": -0.00042997237,
  ""d"": -11.029566
}]","

A teratogen is a substance that can cause birth defects. 

A) Tay-Sachs disease is a genetic disorder, so it is not caused by a teratogen. 

B) Klinefelter's syndrome is a genetic disorder, so it is not caused by a teratogen. 

C) Turner's syndrome is a genetic disorder, so it is not caused by a teratogen. 

D) Fetal alcohol syndrome is caused by a teratogen, so this is the correct answer. 

Answer: D) Fetal alcohol syndrome",scratchpad
More than half of the volume of the human brain is composed of the,cerebral cortex,"septum, amygdala, hippocampus, and cingulate cortex","medulla, pons, and cerebellum",hypothalamus and thalamus,A,high_school_psychology,val,A,"[<OpenAIObject at 0x7f8c800919f0> JSON: {
  "" A"": -10.468057,
  ""A"": -3.1065356e-05,
  ""Answer"": -15.052393,
  ""B"": -16.792599,
  ""a"": -12.987057
}]","

The human brain is composed of several parts, including the cerebral cortex, septum, amygdala, hippocampus, cingulate cortex, medulla, pons, cerebellum, hypothalamus, and thalamus. 

More than half of the volume of the human brain is composed of the cerebral cortex, so the correct answer is (A) cerebral cortex.",scratchpad
